V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
M148,5076.36,5327.82,5097.22,5166.54,5261.9,5376.81,4953.8,5265.8,4622.31,4518.16,4258.75,4176.04,3866.36,3551.47,3312.32,3454.33,3245.4,3146.95,3055.64,2983.62
M149,3628.35,4149.95,3880.95,3945.3,4511.55,4691.15,4781,5271.85,5086.75,4809.05,4907.35,4913.6,4558.3,4275.1,3526.8,3244,3880.1,3967.65,3638.95,3645.55
M150,3320.5,5051,4876.5,3474.5,3483.5,3634,3474.5,4165.5,4337.5,4477.5,4220,4363,4828,4945,3958.5,5032,7989,10426,10264.5,7519
M151,6063,7355,7234,10281,2841,2924,2015,2079,4320,5366,3315,2053,2575,2416,3392,2130,2805,2669,3651,2698
M152,5717,6374,5837.5,7318.4,4613,4611.4,5623.6,6058.7,6449.9,5711.2,5474.1,4922.7,5639.5,4867.4,4342,4701.9,4645.7,4892.3,5229.8,5544.4
M153,1550.61,1488.54,1200.03,1451.49,2576.19,2434.2,2586.21,1898.55,2958.18,3290.73,3408.39,3214.71,4205.43,4378.53,4279.68,4799.25,4902.84,5379.84,5527.05,6004.83
M154,1041,898,854,609.5,745.5,783,765,816.5,879,966.5,878.5,614.5,552,704.5,488.5,532,491,794.5,1190.5,1025.5
M155,2086,2404,2324,1346,1868,2078,1634,1656,1762,1772,1824,1996,1822,2560,1596,1950,1826,1792,2378,2200
M156,158.4,157.8,176.6,204.8,264,312.4,364.8,412.2,487,552.6,625.2,630,727.4,777.2,796.6,875.2,1007.2,1169.8,1373.6,1597.8
M157,122.2,120,135.4,160.6,211.8,251.2,295.8,336,397,448,507.6,507.6,586.2,611.2,621.2,672.4,769.2,882.8,1037.8,1211.8
M158,165,190,210,240,325,350,370,415,445,480,510,540,605,680,755,835,875,960,1140,1470
M159,181,189,206,221,261,306,345,381,450,523,588,612,706,831,877,1014,1190,1435,1679,1930
M160,240,315,360,390,405,420,480,660,915,975,1005,1155,1320,1695,2355,2745,2880,2865,3975,7020
M161,622.5,841,923.5,1186.5,1370.5,1508,1758,1708.5,1675.5,1785.5,1943.5,1950.5,2321.5,2376.5,2451.5,2687,2870.5,3088,3560,3924.5
M162,2580,2500,2480,2200,3490,4520,4950,3120,3040,2930,6030,3530,4120,3600,5480,2970,4640,3550,4420,3140
M163,5130,6090,5880,5220,6030,6510,7080,6450,5670,5400,2460,4920,4830,4770,4980,5430,5100,5250,5160,5340
M164,1737.4,1934.4,1716,1894.6,2078.4,2116.4,2132.8,1874.2,2021.4,2109,2101.2,1913,1965,1903.4,1837.4,1888,1912,1971.4,2041.6,2132.2
M165,1408.6,1595.2,1409.6,1563.4,1727,1758,1790.2,1559.6,1707.8,1789.2,1788.4,1614.2,1662.4,1605.6,1547.4,1598.2,1630.8,1691,1767.2,1857.2
M166,9630,9640,8610,8130,9000,9060,8420,7670,7430,7570,7350,6750,6510,6400,6250,6190,5880,5780,5530,5440
M167,1359.8,1494.4,1378.4,1411.8,1608.8,1610.6,1627,1476.8,1528.2,1620.4,1647.6,1508.8,1541,1513.2,1454.2,1483.4,1490.4,1547.6,1570,1624.4
M168,263,287,315,357.5,382.5,437.5,488.5,531,623,662.5,712.5,821,931.5,1012.5,1042,1173,1308,1456.5,1675.5,1946.5
M169,235,245.5,299.5,334,362.5,443,469.5,500,593,676,730.5,796,912,1001,1010,1146,1294,1420.5,1670.5,1907
M170,241,240,274,254.5,295,303,287,319.5,359.5,440,493,510,559,649,663.5,751.5,779,945,1046.5,1204.5
M171,149.5,154.5,161,167,179.5,204.5,208.5,232,261.5,278,313,410.5,474.5,535,559.5,618,660,826.5,909.5,1021
M172,240.5,275.3,306.6,345.6,381.8,424,463.5,500.5,554,612.5,664.5,713.4,779.2,835.8,888.9,951.2,1014.7,1093.8,1175,1290.5
M173,274,312.8,356.4,407.8,445.4,497.4,548.2,586.6,637.4,698.8,756.8,818.6,881.2,942.2,994.6,1056,1117,1184.4,1254.4,1339.8
M174,176.6,200.4,213.8,235.8,264.2,288,306.6,332.2,378.4,420.4,454,477.2,530.4,567.6,604.8,648.8,695.2,765.4,837.6,952.2
M175,385.4,420,475,494,539.6,598.8,645.6,686,737.8,813.4,875.8,891.2,944.6,1003.8,1059.4,1123.6,1189.6,1299.2,1415.2,1542.6
M176,105,135.5,161.5,228.5,230,253,284,323.5,380.5,420.5,467,560.5,648.5,699.5,759.5,837.5,885,962,1045.5,1158.5
M177,3380,3160,3310,2570,4930,3635,3215,3590,4205,3825,3960,3640,3945,4300,3775,3790,4385,4785,4810,5045
M178,3000,3820,4720,3500,7120,5660,5860,5560,8960,8540,8740,5200,7780,9540,5900,5480,6520,6420,5240,5200
M179,3216.5,3379,3351,3955.5,3551.5,3724.5,3836,4047,4388,4366,4072,4274,4948.5,4490.5,4590.5,4780,4704,4901,4967.5,5084
M180,2434,3372,3288,2744,3372,3130,3508,3246,3290,3846,3658,3578,3632,4006,3752,3558,3358,3618,3464,3332
M181,107.8,84.5,215.8,555,574.1,380.55,315.45,466.15,607.05,397.35,505.5,510.2,568.65,670.9,748.15,881.85,898.5,1110.65,1361.65,1345
M182,188.8,136.7,83.1,337,975,637.6,450.1,516.3,730.9,452.7,528,391.4,427.3,1044.3,1198.2,1408.6,1351.6,1458,1635.1,1853.8
M183,605.95,665.9,804.25,814.1,1005.05,1210.95,1221.15,1228.75,964.45,950.5,951.4,1063.7,1218.85,1511.95,1332.35,1618.2,1773.9,2317,3089.35,3381.1
M184,115.8,178.4,228.7,347.3,649.5,851.1,830.5,847,949.6,1176.6,1147,1125.5,1099.7,1494.8,1597.2,1640.7,1668.6,1701.6,2022.7,2344.4
M185,176.8,287.6,178,286.8,1002.2,1405.2,1329.8,1289,1311.8,1576.8,1457.8,1079,863.8,2353.2,2510.4,2640.6,2563,2507,2906,3266.8
M186,155.2,150.5,251.95,633.3,882.65,842.4,742.6,785.25,917.5,726.55,658.55,606,772.6,696.1,656.85,695.2,760.9,1019.25,1377.35,1546.8
M187,281.7,270.8,428.7,1090.6,1562.6,1498.4,1283.5,1154.9,1229.9,894.2,693.3,545.2,1205.6,1101.8,1057.2,1095,1165.8,1369.6,1571.1,1795
M188,304.45,282.3,252.25,265.05,313.8,444.25,732.75,820.05,830.4,780.5,663.2,599.95,653,677.2,774.45,769.45,866.05,985.45,1413.35,2072.1
M189,783,773,763.5,755,763.5,1251.5,1912,2126,1975.5,1789,1224.5,1140.5,1286,1410.5,1951,1751.5,1779,2677,2801,4614.5
M190,938,767.2,811.2,929.2,911.6,1096,902,1140.8,1016.6,867.6,904.4,956,1054.4,1134,1328.6,1283,1257.2,1348.6,1511.4,1483
M191,1024.5,890.5,740,647.5,709,928,1246,1405,1417,1440.5,1395.5,1637,1495,1448.5,1795.5,2035.5,2771,3104,3848.5,5380.5
M192,5299,8319.6,6295.5,2444.3,6774.4,5358.7,5329.8,2231.8,2378.6,4250.2,5639.8,2675.7,2453.2,3721.9,1871.9,2353.8,3129,4515.6,5332.4,6769.9
M193,4631.45,2885.05,2136.5,5478.8,2805.6,1133.6,1171.45,712,4167.2,1535.25,1109.35,621.5,1924.7,1120.95,950.6,1187.2,2189.25,2225.65,3269.95,3660.8
